ID,Date,Symbol,Open,High,Low,Close,Volume,Market Cap,Year,Month,Day,DayOfWeek
763,2017-09-08,ETH,329.64,329.64,285.16,296.5,1098780032.0,31147151360.0,2017,9,9,4
764,2017-09-09,ETH,296.17,299.89,287.22,294.4,528620992.0,27990509568.0,2017,9,9,5
765,2017-09-10,ETH,294.06,294.76,268.97,288.75,698326016.0,27797227520.0,2017,9,9,6
766,2017-09-11,ETH,289.74,300.69,286.68,294.53,571307008.0,27394424832.0,2017,9,9,0
767,2017-09-12,ETH,294.63,311.2,287.23,291.46,753144000.0,27861831680.0,2017,9,9,1
768,2017-09-13,ETH,291.12,291.12,260.61,277.11,921692032.0,27535706112.0,2017,9,9,2
769,2017-09-14,ETH,276.59,280.84,213.91,213.91,1184589952.0,26166147072.0,2017,9,9,3
770,2017-09-15,ETH,215.22,258.65,195.04,250.46,1935699968.0,20364886016.0,2017,9,9,4
771,2017-09-16,ETH,250.87,262.59,238.22,246.52,711737024.0,23742570496.0,2017,9,9,5
772,2017-09-17,ETH,245.85,257.0,235.24,251.75,427452000.0,23272527872.0,2017,9,9,6
773,2017-09-18,ETH,252.23,293.5,252.23,293.5,1127750016.0,23881156608.0,2017,9,9,0
774,2017-09-19,ETH,293.66,295.77,274.48,282.8,646908992.0,27809294336.0,2017,9,9,1
775,2017-09-20,ETH,282.02,290.89,278.05,283.74,421404000.0,26712387584.0,2017,9,9,2
776,2017-09-21,ETH,283.26,286.61,255.02,258.58,601265984.0,26835992576.0,2017,9,9,3
777,2017-09-22,ETH,258.11,270.54,256.22,264.31,430080992.0,24458373120.0,2017,9,9,4
778,2017-09-23,ETH,264.6,286.17,261.12,286.17,450934016.0,25077055488.0,2017,9,9,5
779,2017-09-24,ETH,286.21,292.95,278.13,282.48,571411008.0,27129874432.0,2017,9,9,6
780,2017-09-25,ETH,282.22,293.52,281.88,292.33,483160992.0,26755461120.0,2017,9,9,0
781,2017-09-26,ETH,292.35,293.75,287.02,287.44,345800992.0,27719983104.0,2017,9,9,1
782,2017-09-27,ETH,287.02,308.02,286.82,306.47,550243968.0,27219355648.0,2017,9,9,2
783,2017-09-28,ETH,306.47,307.2,295.47,299.15,501894016.0,29068738560.0,2017,9,9,3
784,2017-09-29,ETH,299.12,299.92,279.77,291.47,541374976.0,28375930880.0,2017,9,9,4
785,2017-09-30,ETH,291.48,303.96,291.11,301.46,332439008.0,27655217152.0,2017,9,9,5
786,2017-10-01,ETH,301.55,303.19,295.06,302.34,306184992.0,28615151616.0,2017,10,10,6
787,2017-10-02,ETH,302.48,302.92,294.58,297.48,339443008.0,28708456448.0,2017,10,10,0
788,2017-10-03,ETH,297.48,300.11,288.13,292.46,321680000.0,28238487552.0,2017,10,10,1
789,2017-10-04,ETH,292.75,299.39,290.89,292.66,257906000.0,27794059264.0,2017,10,10,2
790,2017-10-05,ETH,292.77,298.04,288.84,295.86,253747008.0,27800369152.0,2017,10,10,3
791,2017-10-06,ETH,295.15,308.84,294.95,308.59,318664000.0,28031059968.0,2017,10,10,4
792,2017-10-07,ETH,308.89,313.13,304.98,311.12,342204992.0,29340370944.0,2017,10,10,5
793,2017-10-08,ETH,311.06,312.54,308.03,308.61,293167008.0,29550901248.0,2017,10,10,6
794,2017-10-09,ETH,308.67,309.31,288.18,297.39,559467008.0,29328332800.0,2017,10,10,0
795,2017-10-10,ETH,297.6,306.15,293.17,299.87,359705984.0,28281407488.0,2017,10,10,1
796,2017-10-11,ETH,301.18,304.39,299.1,303.46,264146000.0,28626298880.0,2017,10,10,2
797,2017-10-12,ETH,303.5,309.15,303.29,304.14,527556992.0,28851191808.0,2017,10,10,3
798,2017-10-13,ETH,304.08,348.6,299.66,338.76,1304359936.0,28911118336.0,2017,10,10,4
799,2017-10-14,ETH,338.85,347.98,334.7,339.63,516561984.0,32222433280.0,2017,10,10,5
800,2017-10-15,ETH,339.53,342.72,320.43,336.6,635406976.0,32292085760.0,2017,10,10,6
